,id,text,created_at,retweet_count,user_screen_name,user_followers_count,hashtags,user_location
0,1579159467874455553,"@skandarbujuk o da olabilir, zaten bu casillas daha 1 ay evvel ""aşk acısı çekiyorum, depresyondayım"" demiyor muydu?… https://t.co/XMGpUYPYZO",2022-10-09 17:18:51+00:00,0,nizamettingve11,2800,[],
1,1579159463319449601,Casillas makyaj yapıyor mu? İdolünüz makyaj bile yapardı. https://t.co/gstXh3fP8Z,2022-10-09 17:18:50+00:00,0,MustIFuckHimAll,1,[],
2,1579159450912378885,RT @AbidinYedek: Aksam beyaz futbolda casillas goygoyunun kalite https://t.co/T1x8y3a5s8,2022-10-09 17:18:47+00:00,324,masafy54,10,[],
3,1579159427457818624,"RT @btpgenclikgm: Türkiye'de pahalılık yok, bizim paramız yok. Bu ülke Bulgar'a ucuz, Suriyeli'ye ucuz, gurbetçiye ucuz, turiste ucuz. 
👉 @…",2022-10-09 17:18:41+00:00,80,kanturasoyu,1019,[],Türkiye
4,1579159405932994560,RT @MaranelloValisi: milli takımda casillas ve puyol’un uyumadığını görünce xavi https://t.co/Uib9R3ymY6,2022-10-09 17:18:36+00:00,268,B96NOYAN,627,[],Karşıyaka/İzmir
5,1579159397489848321,RT @pusholder: Iker Casillas: “Hesabım saldırıya uğradı. Neyse ki şu an her şey yolunda. Tüm takipçilerimden ve tabii ki LGBT topluluğundan…,2022-10-09 17:18:34+00:00,22,mertyorukoglu_,67,[],
6,1579159384307159040,RT @desouzalex: Puyol - ıker casillas https://t.co/UwMV47v5di,2022-10-09 17:18:31+00:00,418,thenavruz7,245,[],"Niğde, Türkiye"
7,1579159346667454465,"RT @btpgenclikgm: Türkiye'de pahalılık yok, bizim paramız yok. Bu ülke Bulgar'a ucuz, Suriyeli'ye ucuz, gurbetçiye ucuz, turiste ucuz. 
👉 @…",2022-10-09 17:18:22+00:00,80,divithokkasi,5198,[],
8,1579159335246376962,RT @benjasosyal: Puyol - Casillas olayından sonra benim kafada canlanan İspanya milli takımı https://t.co/3NLzfo9s80,2022-10-09 17:18:19+00:00,352,maatmaazeel,32,[],
9,1579159327767957504,@saltcilek Sabahtan beri herkes neee diye kalıyo yalan demiş casillas ama bakalim,2022-10-09 17:18:17+00:00,0,jungjungnoa,83,[],jüpiter
10,1579159285044752386,"RT @absurtolaylar: Casillas ile Puyol el classico maçında hava topunda çarpışınca;
https://t.co/hJffanh3hd",2022-10-09 17:18:07+00:00,16,mmdlsama,641,[],"Sumgait, Azerbaijan"
11,1579159225116553218,RT @MaranelloValisi: milli takımda casillas ve puyol’un uyumadığını görünce xavi https://t.co/Uib9R3ymY6,2022-10-09 17:17:53+00:00,268,MehmetE71642373,82,[],
12,1579159218245885952,RT @IlkerbeyIlker: Puyol ve iker casillas olayını pedere anlatmaya gidiyorum https://t.co/UdyJsgQzNm,2022-10-09 17:17:51+00:00,204,masafy54,10,[],
13,1579159151728824321,Casillas nasıl gay şaşkınım 😳,2022-10-09 17:17:35+00:00,0,Vardyreis123,0,[],
14,1579159146125230085,"RT @MumineFv: ▪️Sen tebliğ yap
▪️'Emrolunduğunu gürleyerek söyle
▪️Hakikatleri saklamadan söyle
▪️Dimdik dur
▪️Sen sadece Rabbini arzu et…",2022-10-09 17:17:34+00:00,5,SalihDe94844214,1690,[],"Yüreğir, Adana"
15,1579159145382805506,"RT @umut0149: Süleyman  suylu  yandaşların suyuna gitmek için yine ayak kırmak seansları başlatmış….

Volkan Demirel
Gençlerle Buluşma
POLİ…",2022-10-09 17:17:34+00:00,4,sedat1733,480,[],
16,1579159119185215488,"RT @MumineFv: ▪️Sen tebliğ yap
▪️'Emrolunduğunu gürleyerek söyle
▪️Hakikatleri saklamadan söyle
▪️Dimdik dur
▪️Sen sadece Rabbini arzu et…",2022-10-09 17:17:28+00:00,5,S_E_0172,2919,[],"Adana, Türkiye "
17,1579159089518895106,"RT @MumineFv: ▪️Sen tebliğ yap
▪️'Emrolunduğunu gürleyerek söyle
▪️Hakikatleri saklamadan söyle
▪️Dimdik dur
▪️Sen sadece Rabbini arzu et…",2022-10-09 17:17:20+00:00,5,sedat1733,480,[],
18,1579159081251909632,Casillas tweeti unutulana kadar twittere girmicem bıktırdınız be,2022-10-09 17:17:18+00:00,0,aseellbb,108,[],"Serdivan, Sakarya"
19,1579159055980896256,RT @TransferWeb1: Iker Casillas: “Hesabım hacklendi. Tüm takipçilerimden özür dilerim.”,2022-10-09 17:17:12+00:00,26,BRUHLA1,43,[],
20,1579159050176299010,RT @desouzalex: Puyol - ıker casillas https://t.co/UwMV47v5di,2022-10-09 17:17:11+00:00,418,alihanyalcin,331,[],
21,1579159043926798336,"RT @sporx: Iker Casillas: ""Umarım bana saygı duyarsınız. Ben eşcinselim.""

Carles Puyol: ""Hikayemizi anlatmanın zamanı geldi Iker.❤️😘"" http…",2022-10-09 17:17:10+00:00,38,Aye41305792,56,[],
22,1579159024280690688,RT @ahfalandunya: Puyol ve Casillas'ın sevgili olduğunu öğrenince benim mental https://t.co/gPqEJMNJDG,2022-10-09 17:17:05+00:00,4,aliyolcu34,429,[],El Salvador
23,1579159016655114240,RT @desouzalex: Puyol - ıker casillas https://t.co/UwMV47v5di,2022-10-09 17:17:03+00:00,418,BesiktasRaul,456,[],
24,1579158967523356672,@nizamettingve11 Shakira ile Casillas iddiası sonrası yapılan bir şakaymış diyorlar,2022-10-09 17:16:51+00:00,0,skandarbujuk,54,[],Bu Topraklar
25,1579158943586480129,"Sadece futbolcular mı bunu inşa eden mimar da sanırım öyleymiş 🙂

Casillas  #kpss22  #ösym https://t.co/UBH4lleSCq",2022-10-09 17:16:46+00:00,0,amaleylasiz,0,"[{'text': 'kpss22', 'indices': [76, 83]}, {'text': 'ösym', 'indices': [85, 90]}]",Türkiye
26,1579158876263682048,"RT @btpgenclikgm: Türkiye'de pahalılık yok, bizim paramız yok. Bu ülke Bulgar'a ucuz, Suriyeli'ye ucuz, gurbetçiye ucuz, turiste ucuz. 
👉 @…",2022-10-09 17:16:30+00:00,80,ihsancetin06,1256,[],
27,1579158867543724036,"▪️Sen tebliğ yap
▪️'Emrolunduğunu gürleyerek söyle
▪️Hakikatleri saklamadan söyle
▪️Dimdik dur
▪️Sen sadece Rabbini… https://t.co/atbGjoqU81",2022-10-09 17:16:28+00:00,1,FurkanHarekti,790,[],Türkiye
28,1579158855988416512,"RT @pusholder: Iker Casillas: ""Umarım bana saygı duyarsınız. Ben bir eşcinselim.""

Carles Puyol: ""Hikayemizi anlatmanın zamanı geldi Iker.""…",2022-10-09 17:16:25+00:00,343,viledaluteb,157,[],k*hr*m*nm*r*s
29,1579158815475634178,Lan bu Casillas benim kendimden haberim olmadığım gibi davrandığım dönemlerde crush'ımdı 🥺 Hoş geldin aramıza daddy… https://t.co/VpA2OmZHjl,2022-10-09 17:16:15+00:00,0,mantistent,807,[],
30,1579158802490101760,"RT @trivelaspors: Eşcinsel olduklarını açıklayan Carles Puyol ve Iker Casillas, bir otel odasında birlikte oldu. (AS)",2022-10-09 17:16:12+00:00,69,MurattBlbn,1033,[],
31,1579158788518465536,RT @desouzalex: Puyol - ıker casillas https://t.co/UwMV47v5di,2022-10-09 17:16:09+00:00,418,essiyath,510,[],
32,1579158783846014977,"RT @_samiyenhaber: El Clasico öncesi Casillas ve Puyol
https://t.co/Pe2meJupeX",2022-10-09 17:16:08+00:00,79,Mehmetalikoc01,394,[],Adana Zabıta Daire Başkanlığı
